id,wallet,slug,category,side,entryPrice,cashSize,status,dbPnl,verifyPnl,won,isStopLoss,openedAt,closedAt,day
cmrzzhovy52enu2dswdmlqpt2,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"atp-dedurap-onclin-2026-07-25",other,BUY,0.6533,20.00,resolved,10.6100,10.6133,true,false,2026-07-25T06:24:21.286Z,2026-07-27T21:30:20.104Z,2026-07-25
cms0dng1h5lnru2dsqfscv6n7,0xa71093cafc0c099b4ccab24c3cb8018d817923c4,"ufc-mik1-nur-2026-07-25-totals-2pt5",sports,BUY,0.6728,12.98,resolved,6.3100,6.3139,true,false,2026-07-25T13:00:44.382Z,2026-07-27T21:30:20.440Z,2026-07-25
cms0g4n4l5p2zu2dswrlnrxar,0xdb859a551fcf56e49416160911476bea7307152f,"ufc-mag11-drzepe-2026-07-25",sports,BUY,0.7402,13.30,resolved,4.6700,4.6691,true,false,2026-07-25T14:10:05.944Z,2026-07-27T21:30:20.749Z,2026-07-25
cms0g4nck5p3tu2dsinnops01,0xdb859a551fcf56e49416160911476bea7307152f,"wta-sherif-korpats-2026-07-25",other,BUY,0.6338,13.30,closed,-8.8000,-13.3000,false,true,2026-07-25T14:10:06.228Z,2026-07-25T16:11:59.475Z,2026-07-25
cms0gr3mb5q0vu2ds0vh8zwvc,0x16bb9951a36fce71e2ef57890b786145e0ba8492,"mlb-col-mil-2026-07-25",sports,BUY,0.7018,13.11,resolved,5.5700,5.5716,true,false,2026-07-25T14:27:33.755Z,2026-07-27T21:30:21.041Z,2026-07-25
cms0y6cnx6el9u2dshn1om9kv,0x88c4919de76e526d55a32c1f8afb439dd1f1129a,"us-x-iran-effective-ceasfire-by-august-31-20260715194822047",other,BUY,0.6700,12.37,open,-2.4000,0.0000,,false,2026-07-25T22:35:18.786Z,,2026-07-25
cms0zf3m66gelu2dso20jvbiv,0x88c4919de76e526d55a32c1f8afb439dd1f1129a,"israel-closes-its-airspace-by-august-15",other,BUY,0.7600,14.50,open,1.3400,0.0000,,false,2026-07-25T23:10:06.587Z,,2026-07-25
cms1aoadz6wcpu2dsur7j88fb,0x558f2f82cf0394c28ce3c8e117ee747aeab51a56,"f1-hungarian-grand-prix-winner-leclerc-2026-07-26",sports,BUY,0.7306,13.30,resolved,4.9000,4.9045,true,false,2026-07-26T04:25:11.044Z,2026-07-27T21:30:21.610Z,2026-07-26
cms1pon5h7gafu2dsrzipwltq,0x558f2f82cf0394c28ce3c8e117ee747aeab51a56,"will-lamine-yamal-win-the-2026-ballon-dor",other,BUY,0.7640,14.01,open,-0.3300,0.0000,,false,2026-07-26T11:25:21.826Z,,2026-07-26
cms1rkjne7iwlu2dsuzbr5sqj,STRATEGY:political_favorites,"will-ph-win-the-2026-negeri-sembilan-general-elections-20260720213330401",politics,BUY,0.6921,10.00,open,0.5700,0.0000,,false,2026-07-26T12:18:09.914Z,,2026-07-26
